# x0,y0,u0,v0,tf = -0.5 2 1 0 3.5 
# y_final has error of dt (i.e. needs improvement)
# dt       y_final
0.02       1.4079999999999995
0.01       1.6969999999999996
0.008      1.7676799999999988
0.006      1.8156799999999991
0.005      1.8405000000000007
0.004      1.8716800000000000
0.003      1.9014499999999999
0.002      1.9226799999999999
0.001      1.9455200000000008
0.0005     1.9600450000000014
0.0001     1.9690651999999997
0.00001    1.9710968000000011
0.000001   1.9712876423199965
0.0000001  1.9713067254873453
0.00000001 1.9713089367982035
