           1 ) R=    1.00000000      area=    3.14159298      perimeter=    6.28318596    
           2 ) R=    2.00000000      area=    12.5663719      perimeter=    12.5663719    
           3 ) R=    3.00000000      area=    28.2743378      perimeter=    18.8495579    
           4 ) R=    4.00000000      area=    50.2654877      perimeter=    25.1327438    
           5 ) R=    5.00000000      area=    78.5398254      perimeter=    31.4159298    
           6 ) R=    6.00000000      area=    113.097351      perimeter=    37.6991158    
           7 ) R=    7.00000000      area=    153.938049      perimeter=    43.9822998    
           8 ) R=    8.00000000      area=    201.061951      perimeter=    50.2654877    
           9 ) R=    9.00000000      area=    254.469025      perimeter=    56.5486755    
          10 ) R=    10.0000000      area=    314.159302      perimeter=    62.8318596    
